id;nombre;codigo;descripcion
1;whenever;toil fright down;yahoo eek worst
2;watchful beyond;unexpectedly;instead excellent um
3;vice speedily;untimely;unless
4;that generally alarm;hightail duh rosy;greatly seat on
5;indeed anenst repeatedly;specific;coach mechanically fooey
6;traveler pinafore failing;handmade helium studious;ack dispossess
7;who wobbly;struggle;pfft father-in-law exercise
8;swoosh notwithstanding;skip mundane weakly;contention riot
9;wok ah praise;clump;incidentally since
10;now;mover colony;coverall mechanically
