id;nombre;codigo;descripcion;catalogo_codigo;activo
1;even;how why;often restfully hmph;brr to fuse;true
2;whoa;opposite leading jack;when revere iterate;atop excepting hearty;false
3;tenet;petition;knead unnaturally upon;roust lumpy blah;false
4;furthermore how;who defenseless;because heavily furthermore;juice whoa generous;false
5;following;aha until following;eddy configure safeguard;contemplate;false
6;shout along recent;absent mmm redistribute;however;worriedly squid;true
7;faint;besides meanwhile juicy;zowie phooey;how;false
8;thirsty;dependent;meh upright;detract yuck;false
9;geez nicely apropos;up jubilantly;when;fish;false
10;show;nor thankfully;incomplete;alienated cover;true
