id;nombre;descripcion;url;activo;icono;visible
1;aw bargain soon;furthermore;https://strict-confidence.com;true;aha lonely;true
2;hence ack mockingly;fearful bah;https://weird-pheromone.org/;false;barring;true
3;nimble jaggedly;anxiously;https://raw-aquarium.com.es/;true;landmine;true
4;snaggle plain;throughout;https://which-veteran.cat/;true;before symmetry coupon;false
5;alarm ugh;aggressive closure;https://flustered-hydrant.org;false;beside;false
6;if;via ew statute;https://fresh-fondue.com;false;along;false
7;face innocently;crackle barge anti;https://repentant-cria.es;false;correctly beside;true
8;easel;overhaul defrag brightly;https://impish-communicant.es/;true;beard webbed wicked;true
9;that;plot limestone cuticle;https://useful-cargo.info/;true;oh;true
10;usually racer obnoxiously;and midst;https://any-swanling.cat/;true;hm sternly;false
