id;codigo;nombre;valor_unitario;stock;activo;descripcion;creado_por;fecha_creacion;actualizado_por;fecha_modificacion;categoria_id
1;swiftly;fortune behind;28879.34;22183;true;that jacket;during blissfully gadzooks;2024-02-25;during under faculty;2024-02-26;1
2;er defy;aglet degrade proximal;23848.46;8537;false;eek poorly;sting;2024-02-26;whenever;2024-02-26;2
3;against;neatly;21815.72;10880;true;phony than between;well-off boastfully;2024-02-26;gore;2024-02-26;3
4;fussy sponsor bitterly;or someplace originality;25792.25;17981;true;heavily;afterwards turkey;2024-02-26;openly quirkily;2024-02-25;4
5;worth now;than accommodate strict;32026.27;29497;true;orbit;gah;2024-02-26;around ew;2024-02-25;5
6;bowed overpower;unimpressively;12295.41;11076;true;after toward menacing;fervently oof;2024-02-25;putrid certify unto;2024-02-25;6
7;save diligent;pfft before than;5355.25;1273;true;the daily whet;romance;2024-02-26;interlock;2024-02-26;7
8;big openly cocoa;aw;23953.1;2222;true;during;wonderfully if correctly;2024-02-26;since nice mechanically;2024-02-25;8
9;blindly scarily;bout uniform whenever;25584.96;14049;true;without ferociously;fully questionable;2024-02-26;wide-eyed ick;2024-02-26;9
10;against;gentrify likewise;39.73;4201;true;minus;agile linguist properly;2024-02-26;disseminate commander;2024-02-26;10
