id;nombre;codigo;clase;valor
1;sinful aboard;attribute;instead;waterbed phew
2;telegraph nicely;innocently around;down;oust
3;investigator present;than extinction;diversity;shrilly
4;stot;adventurously helplessly;yippee;besides kind script
5;politely frantically although;although overflow;terrible prefix;hatbox consequently
6;gadzooks bust;joyfully oh;against owl;usher victorious
7;leafy;unsung not violently;cleverly wilted the;transition forceful ensnare
8;incidentally;fudge lipid;longingly;boo
9;healthily cheerfully boastfully;greet;or dope;brr blah
10;weakly download ascend;whereas utterly;CD who;rest melodic
