id;codigo;fecha;fecha_inicio;fecha_fin;direccion;parroquia;barrio
1;cute;2024-02-25;2024-02-26;2024-02-26;sometimes impoverish;excepting pick coaxingly;dynamite cost
2;dearest;2024-02-25;2024-02-26;2024-02-25;fresco;after;shift highly
3;far-flung tenderly;2024-02-26;2024-02-25;2024-02-26;pace;than uh-huh;like spherical
4;er;2024-02-26;2024-02-26;2024-02-25;lighthearted;finer lanai pointed;mmm of beneficial
5;spiffy jolly;2024-02-26;2024-02-26;2024-02-25;able lonely finally;vaguely foil upwardly;coolly midst
6;blah accidentally;2024-02-26;2024-02-26;2024-02-26;unnecessarily gah;inasmuch;consequently
7;instead accidentally because;2024-02-25;2024-02-25;2024-02-25;carefree happy-go-lucky yesterday;jar usually;usher
8;er ragged though;2024-02-26;2024-02-25;2024-02-26;next down;hmph bitterly once;sweetly soulful playfully
9;fob province capitalize;2024-02-25;2024-02-25;2024-02-26;by unwitting unto;possible;gosh aboard
10;reprimand;2024-02-25;2024-02-26;2024-02-26;or whoa;vivaciously;qua transpose
